City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
564,Asosa,ET,62.1,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
570,Nakonde,ZM,57.36,light rain,-9.3421,32.745,Masahani Inn Hotel
583,Marigot,MF,73.18,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
588,Port Shepstone,ZA,70.27,moderate rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
591,Iquique,CL,66.24,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
593,Tuyen Quang,VN,56.44,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
594,Taltal,CL,68.92,clear sky,-25.4,-70.4833,Residencial Karime
598,Half Moon Bay,US,64.58,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
600,Bondo,CD,70.74,overcast clouds,3.8146,23.6866,
602,Port Macquarie,AU,74.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
610,Iranshahr,IR,58.28,clear sky,27.2025,60.6848,نیک سرشت
615,Cavalcante,BR,69.78,moderate rain,-13.7975,-47.4583,Pousada Vila dos Ipês
625,Marondera,ZW,57.34,overcast clouds,-18.1853,31.5519,HopeFay Conference Centre
629,Ntchisi,MW,59.25,overcast clouds,-13.5278,33.9149,
633,Bara,NG,63.59,clear sky,10.3744,10.7288,
635,Adre,TD,59.18,clear sky,13.4667,22.2,
636,San Francisco,US,63.93,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
641,Nouadhibou,MR,66.13,clear sky,20.931,-17.0347,El Medina
645,Wagar,SD,66.09,clear sky,16.1525,36.2032,
649,Mount Pleasant,US,66.34,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
654,Bani,DO,73.74,clear sky,18.2833,-70.3333,Hospedaje Henriquez
659,Sunrise Manor,US,56.71,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
661,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
662,Buraydah,SA,55.22,clear sky,26.326,43.975,فندق راحة السلام
667,Ponta Delgada,PT,59.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
694,Tomatlan,MX,72.79,clear sky,19.9333,-105.25,El Salvial
696,Maues,BR,73.42,overcast clouds,-3.3836,-57.7186,Hotel Miramar
699,Gombe,NG,65.1,clear sky,10.2897,11.1673,Shinani Lodge
707,Antofagasta,CL,73.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
708,Flinders,AU,74.17,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
