City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tadpatri,IN,2022-02-03 17:42:08,14.9167,78.0167,77.49,50,80,7.61
68,Alice Springs,AU,2022-02-03 17:42:08,-23.7,133.8833,62.15,72,100,5.75
69,Arlit,NE,2022-02-03 17:42:09,18.7369,7.3853,66.42,12,0,15.93
70,Lexington Park,US,2022-02-03 17:42:09,38.2668,-76.4538,56.7,94,100,4.61
71,Tecoanapa,MX,2022-02-03 17:42:10,16.5167,-98.75,81.32,55,0,7.85
72,Qaanaaq,GL,2022-02-03 17:42:10,77.484,-69.3632,-14.4,64,92,8.12
73,Tessalit,ML,2022-02-03 17:42:11,20.1986,1.0114,71.38,8,50,10.89
74,Fukue,JP,2022-02-03 17:42:12,32.6881,128.8419,45.82,53,100,13.24
75,Waipawa,NZ,2022-02-03 17:42:12,-41.4122,175.5153,66.83,76,87,7.09
76,Fairview,US,2022-02-03 17:42:12,40.8126,-73.999,44.46,95,100,4.61
77,Bethel,US,2022-02-03 17:42:13,41.3712,-73.414,44.17,100,100,1.19
78,Ponta Do Sol,PT,2022-02-03 17:42:13,32.6667,-17.1,69.01,73,82,7.49
79,Oranjestad,AW,2022-02-03 17:42:14,12.524,-70.027,85.95,62,20,23.02
80,Tuatapere,NZ,2022-02-03 17:40:43,-46.1333,167.6833,52.83,88,100,2.3
81,Trinidad,BO,2022-02-03 17:42:14,-14.8333,-64.9,87.78,66,40,12.66
82,Barrow,US,2022-02-03 17:42:15,71.2906,-156.7887,-25.58,83,0,3.44
83,Bud,US,2022-02-03 17:42:16,39.447,-86.1758,24.75,94,100,18.43
84,Albany,US,2022-02-03 17:42:16,42.6001,-73.9662,44.55,87,100,1.79
85,Port Augusta,AU,2022-02-03 17:42:16,-32.5,137.7667,62.74,59,0,8.81
86,Miri,MY,2022-02-03 17:42:17,4.4148,114.0089,77.14,94,40,2.3
87,Port Elizabeth,ZA,2022-02-03 17:42:18,-33.918,25.5701,69.1,83,20,20.71
88,Jamestown,US,2022-02-03 17:40:19,42.097,-79.2353,31.08,55,100,14.97
89,Port Alfred,ZA,2022-02-03 17:42:18,-33.5906,26.891,72.1,81,91,16.37
90,Hobart,AU,2022-02-03 17:38:35,-42.8794,147.3294,49.05,85,40,1.01
91,Fillmore,US,2022-02-03 17:43:19,43.6666,-92.1002,4.35,60,0,6.91
92,Goksun,TR,2022-02-03 17:43:20,38.021,36.4973,34.75,98,100,4.83
93,Mehamn,NO,2022-02-03 17:43:20,71.0357,27.8492,24.71,100,100,4.61
94,Sur,OM,2022-02-03 17:43:21,22.5667,59.5289,69.8,57,1,10.2
95,Encarnacion,PY,2022-02-03 17:43:21,-27.3333,-55.9,96.84,36,75,17.27
96,Los Llanos De Aridane,ES,2022-02-03 17:43:22,28.6585,-17.9182,67.12,77,20,1.99
97,Cape Town,ZA,2022-02-03 17:42:18,-33.9258,18.4232,69.1,61,40,1.99
98,Dingle,PH,2022-02-03 17:42:26,10.9995,122.6711,75.09,94,79,8.3
99,Kaitangata,NZ,2022-02-03 17:43:23,-46.2817,169.8464,48.96,94,100,3.67
100,Magadan,RU,2022-02-03 17:43:23,59.5667,150.8,5.14,73,97,10.31
101,Carnarvon,AU,2022-02-03 17:42:41,-24.8667,113.6333,80.67,78,1,11.5
102,Hasan Abdal,PK,2022-02-03 17:43:24,30.4333,72.7,48.63,89,1,6.8
103,Nortelandia,BR,2022-02-03 17:43:25,-14.4547,-56.8028,86.31,60,81,6.67
104,Khrebtovaya,RU,2022-02-03 17:43:25,56.7032,104.2494,4.82,97,100,4.5
105,Petropavlovsk-Kamchatskiy,RU,2022-02-03 17:43:26,53.0452,158.6483,25.39,63,75,6.71
106,At-Bashi,KG,2022-02-03 17:43:26,41.1702,75.8106,1.81,83,87,3.2
107,Khambhaliya,IN,2022-02-03 17:43:26,22.2072,69.6683,66.25,48,1,6.73
108,Goderich,CA,2022-02-03 17:43:27,43.7501,-81.7165,19.9,73,100,11.5
109,Lethem,GY,2022-02-03 17:43:27,3.3803,-59.7968,94.53,37,65,11.61
110,Severo-Kurilsk,RU,2022-02-03 17:43:28,50.6789,156.125,29.66,85,100,8.39
111,Novomykolayivka,UA,2022-02-03 17:43:28,47.9781,35.9102,34.05,99,100,5.57
112,Camacha,PT,2022-02-03 17:43:29,33.0833,-16.3333,65.53,77,40,9.22
113,Soyo,AO,2022-02-03 17:43:29,-6.1349,12.3689,82.45,72,47,7.07
114,Vaini,TO,2022-02-03 17:40:25,-21.2,-175.2,71.76,100,20,2.3
115,Ribeira Grande,PT,2022-02-03 17:40:07,38.5167,-28.7,63.0,67,20,3.44
116,Utrecht,NL,2022-02-03 17:41:40,52.0,5.25,46.96,93,87,5.99
117,Poronaysk,RU,2022-02-03 17:42:38,49.2167,143.1167,10.04,86,100,8.25
118,Ust-Nera,RU,2022-02-03 17:43:30,64.5667,143.2,-16.33,99,99,2.17
119,Tiksi,RU,2022-02-03 17:43:31,71.6872,128.8694,-10.05,100,100,2.64
120,Eureka,US,2022-02-03 17:43:31,40.8021,-124.1637,49.19,82,100,1.99
121,Pacific Grove,US,2022-02-03 17:43:32,36.6177,-121.9166,61.41,53,0,1.01
122,Hermanus,ZA,2022-02-03 17:43:32,-34.4187,19.2345,66.9,76,49,10.16
123,Saskylakh,RU,2022-02-03 17:43:33,71.9167,114.0833,-23.58,99,100,1.23
124,New Norfolk,AU,2022-02-03 17:40:14,-42.7826,147.0587,48.7,71,7,1.01
125,Aklavik,CA,2022-02-03 17:43:34,68.2191,-135.0107,-16.6,69,75,3.44
126,Merauke,ID,2022-02-03 17:43:34,-8.4667,140.3333,78.66,83,96,9.91
127,Vigrestad,NO,2022-02-03 17:43:35,58.5667,5.7,43.59,97,100,13.8
128,Quatre Cocos,MU,2022-02-03 17:43:35,-20.2078,57.7625,80.71,89,100,25.21
129,Havoysund,NO,2022-02-03 17:43:36,70.9963,24.6622,23.23,76,100,14.34
130,Vila Velha,BR,2022-02-03 17:43:36,-20.3297,-40.2925,80.55,84,75,1.01
131,Zhangye,CN,2022-02-03 17:43:36,38.9342,100.4517,17.51,44,3,2.01
132,Kurumkan,RU,2022-02-03 17:43:37,54.3,110.3,-14.96,95,48,3.29
133,Zunheboto,IN,2022-02-03 17:43:38,25.9667,94.5167,45.81,85,75,2.53
134,Yar-Sale,RU,2022-02-03 17:43:38,66.8333,70.8333,-13.38,100,44,6.26
135,San Pedro,PH,2022-02-03 17:40:17,14.35,121.0167,78.03,80,75,4.61
136,Palmer,US,2022-02-03 17:41:58,42.1584,-72.3287,46.33,84,90,6.91
137,Lagoa,PT,2022-02-03 17:42:46,39.05,-27.9833,57.54,74,98,11.63
138,Tura,IN,2022-02-03 17:44:39,25.5198,90.2201,61.5,54,35,5.41
139,Dali,CN,2022-02-03 17:44:39,25.7,100.1833,37.06,88,13,4.41
140,Port Hardy,CA,2022-02-03 17:43:29,50.6996,-127.4199,42.76,93,100,11.5
141,Luau,AO,2022-02-03 17:44:40,-10.7073,22.2247,65.25,97,97,6.26
142,Kaeo,NZ,2022-02-03 17:41:13,-35.1,173.7833,70.32,93,72,9.4
143,Cabo San Lucas,MX,2022-02-03 17:41:03,22.8909,-109.9124,74.52,59,66,3.0
144,Roald,NO,2022-02-03 17:44:41,62.5833,6.1333,45.52,70,75,16.11
